Company Name,Address,City,State,ZIP Code,County,Neighborhood,Phone Number Combined,Website,Primary SIC Description,SIC Code 1,Cuisine Code Description,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Twitter,Facebook,Record Type,WhatTypes,Rating
Firehouse Subs,1902 Lincoln Blvd # B,Santa Monica,CA,90405,Los Angeles,,(310) 392-0303,Firehousesubs.Com,Cafes,581208,DELI,1000,2130,1000,2130,1000,2130,1000,2200,1000,2200,1000,2130,http://twitter.com/firehousesubs,http://www.facebook.com/173604153284377,Verified,Restaurants,3.50
Camp Arev,411 E Acacia Ave,Glendale,CA,91205,Los Angeles,Mariposa,(818) 507-0922,Camparev.Org,Camps,703203,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/@camparev,https://www.facebook.com/camparev,Verified,,1.69
Birrieria Mexico,14552 Vanowen St,Van Nuys,CA,91405,Los Angeles,Van Nuys,(818) 909-9045,,Candy & Confectionery-Retail,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Sightseeing,2.96
Vons,17380 W Sunset Blvd,Pacific Palisades,CA,90272,Los Angeles,Pacific Palisades,(310) 454-2502,Local.Vons.Com,Caterers,541105,,500,Open 24 Hours,500,Open 24 Hours,500,Open 24 Hours,500,Open 24 Hours,500,Open 24 Hours,500,Open 24 Hours,http://twitter.com/safeway,http://www.facebook.com/safeway,Verified,,2.62
Wheel House Cheese & Wine,12954 W Washington Blvd,Los Angeles,CA,90066,Los Angeles,Culver West,(424) 289-9167,Winecateringlosangeles.Com,Cheese,545103,,1100,2000,1100,2000,1100,2000,1100,2100,1000,2100,1000,2000,http://twitter.com/wheelhousela,http://www.facebook.com/wheelhousecheesela,Verified,,2.73
Eclectic Cafe,5156 Lankershim Blvd,North Hollywood,CA,91601,Los Angeles,,(818) 760-2233,Theeclectic.Com,Churches,581208,INTERNATIONAL,1130,2230,1130,2230,1130,2230,1130,2330,430,2330,1000,2200,,,Verified,Sightseeing,4.56
Winsome,1115 W Sunset Blvd,Los Angeles,CA,90012,Los Angeles,,(213) 415-1818,Eatwinsome.Com,Clubs,581208,BISTRO,800,1530,800,2200,800,2200,800,2300,800,2300,800,2200,https://twitter.com/eatwinsome,https://www.facebook.com/eat-winsome-1080379505320239,Verified,Restaurants,1.75
Emilio's Presto Restaurant,16234 Ventura Blvd,Encino,CA,91436,Los Angeles,Encino,(818) 784-7499,Emiliostrattoria.Net,Cocktail Lounges,581208,,,,,,,,,,,,,,,,Verified,Restaurants,2.20
Venice Bakery,10943 Venice Blvd,Los Angeles,CA,90034,Los Angeles,Palms,(310) 839-3478,Venblue.Com,Coffee & Tea,581208,BAKERY,,,,,,,,,,,,,,,Verified,Restaurants,1.26
Nersess Vanak Restaurant,6524 San Fernando Rd,Glendale,CA,91201,Los Angeles,Grandview,(818) 550-7800,Nersses.Com,Coffee Shops,581208,MEDITERRANEAN,,,,,,,,,,,,,,,Verified,Restaurants,1.31
Red Lobster,928 W Huntington Dr,Monrovia,CA,91016,Los Angeles,Monrovia,(626) 301-9225,Redlobster.Com,Comedy Clubs,581208,SEAFOOD,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,2200,http://twitter.com/redlobster,http://www.facebook.com/redlobster,Verified,Sightseeing,4.49
Arby's,5920 South St,Lakewood,CA,90713,Los Angeles,Lakewood Estates,(562) 867-2883,Arbys.Com,Convenience Stores,581208,AMERICAN,1000,2200,1000,2200,1000,2200,1000,2300,1000,2300,1000,2200,http://twitter.com/arbys,http://www.facebook.com/arbys,Verified,Restaurants,4.33
Max's Of Manila,1600 S Azusa Ave # 166,City Of Industry,CA,91748,Los Angeles,Industry,(626) 363-1766,Maxsofmanila.Com,Corporate Lodging,581208,ASIAN,1100,2100,1100,2100,1100,2100,1100,2100,1100,1800,1100,1800,http://twitter.com/maxsrestaurant,http://www.facebook.com/maxsrestaurant,Verified,,1.81
Wasabi,1000 Universal Studios Blvd,Universal City,CA,91608,Los Angeles,Universal City,(818) 763-8813,Wasabiatcitywalk.Com,Cottages & Cabins,581208,JAPANESE,1100,2100,1100,2100,1100,2100,1100,2300,1100,2300,1100,2100,http://twitter.com/wasabicitywalk,http://www.facebook.com/wasabiatcitywalk,Verified,,2.64
El Primo,6541 Pacific Blvd,Huntington Park,CA,90255,Los Angeles,Huntington Park,(323) 476-7444,,Delicatessens,581208,,,,,,,,,,,,,,,,Verified,Restaurants,5.59
Starbucks,5245 W Centinela Ave,Los Angeles,CA,90045,Los Angeles,Ladera Heights,(310) 641-2813,Starbucks.Com,Delivery Service,581228,,600,2100,600,2100,600,2100,600,2100,600,2100,600,2100,http://twitter.com/starbucks,http://www.facebook.com/495137917528232,Verified,,2.10
Gypsy Camp Ethnic Arts Ctr,3265 Motor Ave,Los Angeles,CA,90034,Los Angeles,Palms,(310) 558-0746,Gypsyfolkensemble.Com,Doughnuts,841202,,,,,,,,,,,,,,,http://www.facebook.com/pages/gypsy-folk-ensemble/168129599867691,Verified,Restaurants,3.69
Starbucks,31202 Palos Verdes Dr W,Rancho Palos Verdes,CA,90275,Los Angeles,Rancho Palos Verdes,(310) 265-7230,Starbucks.Com,Entertainers-Adult,581228,,530,2030,530,2030,530,2030,530,2130,530,2100,530,2100,http://twitter.com/starbucks,http://www.facebook.com/starbucks,Verified,Sightseeing,2.52
Msho Lavas Bakery,627 S Glendale Ave,Glendale,CA,91205,Los Angeles,Mariposa,(818) 545-7070,,Espresso & Espresso Bars,581208,BAKERY,,,,,,,,,,,,,,,Verified,Restaurants,1.52
Hollywood Pensione,1845 N Wilton Pl,Los Angeles,CA,90028,Los Angeles,Hollywood Hills,(323) 369-2411,Hollywoodpensione.Com,Events-Special,701107,,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,,,Verified,Sightseeing,4.32
Church's Chicken,1105 W Mission Blvd,Pomona,CA,91766,Los Angeles,,(909) 622-4477,Churchs.Com,Farm Markets,581208,CHICKEN,1030,2200,1030,2200,1030,2200,1030,2200,1030,2200,1030,2200,http://twitter.com/churchschicken,http://www.facebook.com/churchschicken,Verified,Sightseeing,2.64
Starbucks,46 Peninsula Ctr # A,Rolling Hills Estates,CA,90274,Los Angeles,Rolling Hills Estates,(310) 544-3942,Starbucks.Com,Food Products & Manufacturers,581228,,500,2030,500,2030,500,2030,500,2030,530,2030,530,1930,http://twitter.com/starbucks,https://www.facebook.com/155989321077975,Verified,,1.29
Linda's Burger,4758 Maine Ave,Baldwin Park,CA,91706,Los Angeles,Baldwin Park,(626) 962-9257,,Food Products (Whls),581208,BURGERS,,,,,,,,,,,,,,,Verified,,2.73
Presley's Snack Bar,15845 Main St,La Puente,CA,91744,Los Angeles,La Puente,(626) 330-8060,,Food Products-Retail,581208,,,,,,,,,,,,,,,,Verified,,4.19
Amore Pizza,3025 E Avenue S # A12,Palmdale,CA,93550,Los Angeles,,(661) 265-8585,Amorepizza.Com,Foundation-Educ Philanthropic Research,581208,ITALIAN,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,,,Verified,,3.87
Whole Foods Market,18700 Ventura Blvd # 190,Tarzana,CA,91356,Los Angeles,Tarzana,(818) 578-7840,Wholefoodsmarket.Com,Games & Game Supplies,541105,,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,http://www.twitter.com/wholefoods,http://www.facebook.com/wholefoods,Verified,,1.83
Morazan Restaurante,15706 Vanowen St,Van Nuys,CA,91406,Los Angeles,Lake Balboa,(818) 994-3838,,Gardens,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Sightseeing,2.22
Maison 140 Beverly Hills,140 S Lasky Dr,Beverly Hills,CA,90212,Los Angeles,Beverly Hills,(310) 281-4000,Maison140.Com,Golf Courses,701101,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,,https://www.facebook.com/maison140bh,Verified,,2.05
Ocean Baskets Restaurant,2851 Crenshaw Blvd,Los Angeles,CA,90016,Los Angeles,West Adams,(323) 643-4333,Ocean-Baskets-Restaurant.Business.Site,Grocers-Retail,581208,SEAFOOD,1000,2200,1000,2200,1000,2200,1000,Open 24 Hours,1000,Open 24 Hours,1000,2200,,,Verified,,1.34
J & R Restaurants,13030 Valley Blvd,Bassett,CA,91746,Los Angeles,Avocado Heights,Not Available,,Guest Ranches,581208,,,,,,,,,,,,,,,,Verified,Hotels,3.57
French Crepe Co,6333 W 3rd St # 318,Los Angeles,CA,90036,Los Angeles,,(323) 934-3113,Frenchcrepe.Com,Halls & Auditoriums,581208,FRENCH,700,2100,700,2100,700,2100,700,2100,700,2100,700,1900,http://twitter.com/frenchcrepeco,http://www.facebook.com/frenchcrepeco,Verified,Sightseeing,2.35
Aj Sports Club LLC,21042 Main St,Carson,CA,90745,Los Angeles,,(310) 518-2366,,Herbs,581301,,,,,,,,,,,,,,,,Verified,,4.25
Dos Arbolitos Restaurant,9034 Woodley Ave,North Hills,CA,91343,Los Angeles,North Hills West,(818) 891-6661,,Hookah Bars & Lounges,581208,MEXICAN,1100,2100,1100,2100,1100,2100,1100,2100,700,2100,700,1600,,https://www.facebook.com/pages/dos-arbolitos-restaurant/349694231760270,Verified,Sightseeing,2.95
French Crepe Co,6801 Hollywood Blvd # 403,Los Angeles,CA,90028,Los Angeles,Hollywood Hills West,(323) 960-0933,Frenchcrepe.Com,Hotel & Motel Management,581208,FRENCH,700,2100,700,2100,700,2100,700,2100,700,2100,700,1900,http://twitter.com/frenchcrepeco,http://www.facebook.com/frenchcrepeco,Verified,Hotels,5.09
Abarca's Taco Pub,19705 Colima Rd # 3,Rowland Heights,CA,91748,Los Angeles,Rowland Heights,(909) 468-1175,,Hotels & Motels,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Hotels,1.70
Applebee's,9255 Winnetka Ave,Chatsworth,CA,91311,Los Angeles,Chatsworth,(818) 885-6519,Restaurants.Applebees.Com,Ice Cream Parlors,581208,STEAK HOUSES,1100,Open 24 Hours,1100,Open 24 Hours,1100,Open 24 Hours,1100,100,1100,100,1000,Open 24 Hours,http://twitter.com/applebees,http://www.facebook.com/applebees,Verified,Restaurants,3.84
Mc Donald's,5203 Irwindale Ave,Irwindale,CA,91706,Los Angeles,Irwindale,(626) 813-4323,Mcdonalds.Com,Interior Decorators Design & Consultants,581208,BURGERS,500,2300,500,2300,500,2300,500,2300,500,2300,500,2300,http://twitter.com/mcdonalds,http://www.facebook.com/mcdonaldsus,Verified,,4.29
Pinoeer,450 Pioneer Dr,Glendale,CA,91203,Los Angeles,Vineyard,(818) 548-1700,,Jewish Foods,581208,AMERICAN,700,2045,700,2045,700,2045,700,2045,700,2045,700,2045,,https://www.facebook.com/pages/pioneer-cafe/465236926848267,Verified,Restaurants,5.39
Reserve Lounge LLC,600 S Spring St,Los Angeles,CA,90014,Los Angeles,Downtown Los Angeles,Not Available,,Juice Bars,581303,,,,,,,,,,,,,,,,Verified,Restaurants,1.35
Mexicanos 30 30,2042 Marengo St,Los Angeles,CA,90033,Los Angeles,Boyle Heights,(323) 224-9466,Mx3030restaurant.Com,Laboratories-Dental,581208,MEXICAN,,,,,,,,,,,,,,,Verified,,4.12
Lux Cafe,7139 Sepulveda Blvd # B,Van Nuys,CA,91405,Los Angeles,Van Nuys,(818) 902-0210,Theluxcafe.Com,Landscape Contractors,581208,,2000,Open 24 Hours,2000,Open 24 Hours,2000,Open 24 Hours,2000,200,2000,200,2000,Open 24 Hours,,https://www.facebook.com/luxcafe,Verified,,3.88
Fitness Kitchen,8471 Beverly Blvd # 202,Los Angeles,CA,90048,Los Angeles,,(310) 883-4841,Fitnesskitchenla.Com,Meal Preparation Services,581253,,900,1700,900,1700,900,1700,900,1700,Closed,,Closed,,http://twitter.com/fitkitchenla,http://www.facebook.com/fitnesskitchenla,Verified,,5.24
Star Dog,6771 Hollywood Blvd,Los Angeles,CA,90028,Los Angeles,Hollywood Hills West,(323) 466-3465,,Meat-Retail,581208,,,,,,,,,,,,,,,,Verified,,5.62
Domino's,5401 S Figueroa St # 7,Los Angeles,CA,90037,Los Angeles,,(323) 753-6888,Dominos.Com,Mobile Concessions,581222,,1000,100,1000,100,1000,100,1000,200,1000,200,1000,100,http://twitter.com/dominos,http://www.facebook.com/dominos,Verified,,2.05
Fratelli Cafe,7200 Melrose Ave,Los Angeles,CA,90046,Los Angeles,,(323) 938-2232,Fratellicafe.Com,Motels & Hotels Reservations,581208,AMERICAN,700,1900,700,1900,700,1900,700,1700,700,1600,700,1600,http://twitter.com/fratellicafe,https://www.facebook.com/pages/fratelli-cafe/207827382616783,Verified,Hotels,1.51
B M S Chace,1119 S Flower St,Burbank,CA,91502,Los Angeles,,(818) 588-3588,,Museums,841205,,,,,,,,,,,,,,,,Verified,Sightseeing,2.92
Starbucks,27631 Bouquet Canyon Rd,Santa Clarita,CA,91350,Los Angeles,,(661) 296-9655,Starbucks.Com,Night Clubs,581228,,600,2100,600,2100,600,2100,600,2100,600,2100,600,2100,http://twitter.com/starbucks,http://www.facebook.com/starbucks,Verified,Sightseeing,2.15
Alloro Restaurant,1915 W Magnolia Blvd,Burbank,CA,91506,Los Angeles,Chandler Park,(818) 954-9844,,Non-Profit Organizations,581208,,,,,,,,,,,,,,,,Verified,Sightseeing,2.82
LA Victoria Night Club-Rstrnt,19655 Sherman Way,Reseda,CA,91335,Los Angeles,Reseda,(818) 998-8464,,Paint Ball Games,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Sightseeing,3.17
Courtyard By Marriott Los,6333 Bristol Pkwy,Culver City,CA,90230,Los Angeles,Fox Hills,(310) 484-7000,Marriott.Com,Party Supplies,701101,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/courtyardla,https://facebook.com/losangeleshotel,Verified,,3.20
Sonny's Hideaway,5137 York Blvd,Los Angeles,CA,90042,Los Angeles,Highland Park,(323) 255-2000,,Pizza,581208,BISTRO,1700,100,1700,100,1700,100,1700,200,1700,200,1100,Open 24 Hours,http://twitter.com/sonnys_hideaway,https://www.facebook.com/sonnyshideaway,Verified,Restaurants,3.31
Cabo Resort Reservations,15115 1/2 W Sunset Blvd # C,Pacific Palisades,CA,90272,Los Angeles,The Alphabet Streets,(310) 230-3470,,Pretzels-Retail,701111,,,,,,,,,,,,,,,,Verified,Restaurants,1.88
Leonis Adobe Museum,23537 Calabasas Rd,Calabasas,CA,91302,Los Angeles,Woodland Hills,(818) 222-6511,Leonisadobemuseum.Org,Recreational Vehicle Parks,841201,,Closed,,Closed,,Closed,,1300,1600,1000,1600,1300,1600,https://twitter.com/leonisadobe,https://www.facebook.com/leonisadobemuseum,Verified,Sightseeing,2.24
Taco Bell,3858 Peck Rd,El Monte,CA,91732,Los Angeles,Norwood Cherrylee,(626) 443-3101,Tacobell.Com,Resorts,581208,MEXICAN,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,http://twitter.com/tacobell,http://www.facebook.com/tacobell,Verified,Sightseeing,2.98
Popeyes Louisiana Kitchen,3268 W Slauson Ave,Los Angeles,CA,90043,Los Angeles,Hyde Park,(323) 294-8116,Popeyes.Com,Restaurant Management,581208,CHICKEN,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,http://twitter.com/popeyeschicken,http://www.facebook.com/popeyeslouisianakitchen,Verified,,3.95
Tops Junior,2407 W Main St,Alhambra,CA,91801,Los Angeles,Alhambra,(626) 281-5693,,Restaurants,581208,,,,,,,,,,,,,,,,Verified,Restaurants,4.87
Mosaic Hotel Beverly Hills,125 S Spalding Dr,Beverly Hills,CA,90212,Los Angeles,Beverly Hills,(310) 278-0303,Mosaichotel.Com,Restaurants-Food Delivery,701101,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,,https://www.facebook.com/mosaichotelbh,Verified,Restaurants,2.14
C & A,4528 W 141st St,Hawthorne,CA,90250,Los Angeles,Ramona,(310) 413-6770,,Sandwiches,581212,,,,,,,,,,,,,,,,Verified,Restaurants,5.52
BFB Grill,101 N Victory Blvd,Burbank,CA,91502,Los Angeles,Chandler Park,(818) 489-2498,Betterfirstburger.Com,Seafood-Retail,581208,,,,,,,,,,,,,,,,Verified,,4.12
KFC,2801 N Broadway,Los Angeles,CA,90031,Los Angeles,Lincoln Heights,(323) 221-0478,Kfc.Com,Social Service & Welfare Organizations,581208,CHICKEN,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,http://twitter.com/kfc,http://www.facebook.com/kfc,Verified,,2.03
Office,2412 N Broadway,Los Angeles,CA,90031,Los Angeles,Lincoln Heights,(323) 221-5897,,Spas-Beauty & Day,581208,,,,,,,,,,,,,,,,Verified,Sightseeing,1.75
BJ'S Restaurant & Brewhouse,1716 Montebello Town Ctr,Montebello,CA,90640,Los Angeles,Montebello,(323) 201-5290,Bjsrestaurants.Com,Student Housing,581208,BREW PUB,1100,Open 24 Hours,1100,Open 24 Hours,1100,100,1100,100,1000,100,1000,Open 24 Hours,http://twitter.com/bjsrestaurants,http://www.facebook.com/bjsrestaurants,Verified,,4.23
Starbucks,743 N Lake Ave,Pasadena,CA,91104,Los Angeles,Olive Heights,(626) 797-1908,Starbucks.Com,Synagogues,581228,,400,2300,400,2300,400,2300,Closed,,Closed,,500,2300,http://twitter.com/starbucks,http://www.facebook.com/starbucks,Verified,Sightseeing,2.22
Creole Cafe,3650 W Martin L King Jr # 144,Los Angeles,CA,90008,Los Angeles,Crenshaw,(323) 389-8355,,Theatres-Movie,581208,CAJUN,,,,,,,,,,,,,,,Verified,Sightseeing,3.26
Froyo Life Inc,1550 N El Centro Ave # 1407,Los Angeles,CA,90028,Los Angeles,,(323) 667-9900,Froyolife.Com,Tourist Accommodations,581208,,1200,Open 24 Hours,1200,Open 24 Hours,1200,Open 24 Hours,1200,Open 24 Hours,1200,Open 24 Hours,1200,Open 24 Hours,http://twitter.com/froyolife,http://www.facebook.com/pages/froyo-life/108236172528553,Verified,Sightseeing,1.16
Sbarro,805 Plaza Dr,West Covina,CA,91790,Los Angeles,West Covina Central Business District,(626) 856-1397,Sbarro.Com,Tourist Homes,581208,PIZZA,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1900,http://twitter.com/sbarro,http://www.facebook.com/sbarro,Verified,Sightseeing,1.21
Carniceria Y Taqueria Gdljr,9715 Long Beach Blvd # D,South Gate,CA,90280,Los Angeles,South Gate,(323) 249-9999,,University-College Dept/Facility/Office,542107,,,,,,,,,,,,,,,,Verified,Sightseeing,2.89
Panda Express,1803 N Cahuenga Blvd,Hollywood,CA,90028,Los Angeles,Hollywood Hills West,(323) 962-3182,Pandaexpress.Com,Villas,581208,CHINESE,1000,2230,1000,2230,1000,2230,1000,2230,1000,2230,1030,2230,http://twitter.com/pandaexpress,http://www.facebook.com/pandaexpress,Verified,Sightseeing,4.22
Swiss Park Banquet Ctr,1905 Workman Mill Rd,Whittier,CA,90601,Los Angeles,Avocado Heights,(562) 699-1525,,Wedding & Reception Sites,581223,,1000,1800,1000,1800,1000,1800,1000,1600,1000,1700,1100,1700,http://twitter.com/swisspark_,https://www.facebook.com/swissparkbanquetcenter,Verified,,3.23
Winchell's,1213 S Soto St,Los Angeles,CA,90023,Los Angeles,Boyle Heights,(323) 780-4331,Winchells.Com,Weight Control Services,546105,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://www.twitter.com/winchellsdonuts,http://www.facebook.com/pages/winchells-donut-house/62696235895,Verified,Restaurants,2.90
KFC,1128 Huntington Dr,Duarte,CA,91010,Los Angeles,Duarte,(626) 357-5113,Kfc.Com,Wineries (Mfrs),581208,CHICKEN,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,http://twitter.com/kfc,http://www.facebook.com/kfc,Verified,Sightseeing,2.62
Mehta Market,7712 Santa Monica Blvd,West Hollywood,CA,90046,Los Angeles,West Hollywood,(323) 654-2893,,,581209,,,,,,,,,,,,,,,,Verified,Restaurants,5.35
LA Banquets-Glenoaks Ballroom,1320 W Glenoaks Blvd,Glendale,CA,91201,Los Angeles,Grandview,(818) 338-2471,Labanquets.Com,,791102,,800,1700,800,1700,800,1700,800,1700,Closed,,Closed,,,,Verified,,5.36
Carving Board,216 E Olive Ave,Burbank,CA,91502,Los Angeles,,(818) 563-6799,Eattheboard.Com,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,1.53
Hotel Shangri-LA,1301 Ocean Ave,Santa Monica,CA,90401,Los Angeles,Downtown Santa Monica,(310) 394-2791,,,701101,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/hotelshangrila,http://www.facebook.com/shangrilahotel,Verified,,3.34
Glad Pix Garden LLC,1438 N Gower St # 43,Hollywood,CA,90028,Los Angeles,Hollywood Studio District,Not Available,,,842211,,,,,,,,,,,,,,,,Verified,,1.75
Himalayan Cafe,133 E Bonita Ave # 102,San Dimas,CA,91773,Los Angeles,San Dimas,(626) 289-2044,,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,1.19
Himalayan Group Inc Hgi,36 S Fair Oaks Ave,Pasadena,CA,91105,Los Angeles,Downtown Pasadena,(626) 564-1560,Himalayancafepasadenaonline.Com,,581208,ASIAN,1000,2200,1000,2200,1000,2200,1130,2300,1130,2300,1000,2200,,http://www.facebook.com/himalayan-cafe-560566020727641,Verified,Restaurants,4.02
Soltani Restaurant,1535 N LA Brea Ave,Los Angeles,CA,90028,Los Angeles,Hollywood Hills West,(323) 876-3389,,,581208,MEDITERRANEAN,1100,2300,1100,2300,1100,2300,1100,200,1100,200,1200,2200,,https://www.facebook.com/pages/sultani-restaurant/798629233523336,Verified,Restaurants,3.68
